"","Year","Week","Week.Ending","Geo.Level","State","State.ANSI","Prc.Excellent","Prc.Good","Prc.Fair","Prc.Poor","Prc.VeryPoor"
"ALABAMA-2014-04-27",2014,17,"2014-04-27","STATE","ALABAMA",1,5,66,29,0,0
"ALABAMA-2014-05-04",2014,18,"2014-05-04","STATE","ALABAMA",1,8,64,28,0,0
"ALABAMA-2014-05-11",2014,19,"2014-05-11","STATE","ALABAMA",1,8,69,23,0,0
"ALABAMA-2014-05-18",2014,20,"2014-05-18","STATE","ALABAMA",1,8,71,20,1,0
"ALABAMA-2014-05-25",2014,21,"2014-05-25","STATE","ALABAMA",1,9,71,19,1,0
"ALABAMA-2014-06-01",2014,22,"2014-06-01","STATE","ALABAMA",1,12,68,19,1,0
"ALABAMA-2014-06-08",2014,23,"2014-06-08","STATE","ALABAMA",1,17,65,17,1,0
"ALABAMA-2014-06-15",2014,24,"2014-06-15","STATE","ALABAMA",1,19,64,16,1,0
"ALABAMA-2014-06-22",2014,25,"2014-06-22","STATE","ALABAMA",1,20,61,18,1,0
"ALABAMA-2014-06-29",2014,26,"2014-06-29","STATE","ALABAMA",1,22,61,16,1,0
"ALABAMA-2014-07-06",2014,27,"2014-07-06","STATE","ALABAMA",1,23,64,12,1,0
"ALABAMA-2014-07-13",2014,28,"2014-07-13","STATE","ALABAMA",1,22,65,12,1,0
"ALABAMA-2014-07-20",2014,29,"2014-07-20","STATE","ALABAMA",1,22,63,13,2,0
"ALABAMA-2014-07-27",2014,30,"2014-07-27","STATE","ALABAMA",1,24,63,11,2,0
"ALABAMA-2014-08-03",2014,31,"2014-08-03","STATE","ALABAMA",1,24,61,13,2,0
"ALABAMA-2014-08-10",2014,32,"2014-08-10","STATE","ALABAMA",1,25,59,13,3,0
"ALABAMA-2014-08-17",2014,33,"2014-08-17","STATE","ALABAMA",1,24,59,14,3,0
"ALABAMA-2014-08-24",2014,34,"2014-08-24","STATE","ALABAMA",1,25,59,13,3,0
"ALABAMA-2014-08-31",2014,35,"2014-08-31","STATE","ALABAMA",1,27,56,14,3,0
"ALABAMA-2014-09-07",2014,36,"2014-09-07","STATE","ALABAMA",1,27,56,14,3,0
"ALABAMA-2014-09-14",2014,37,"2014-09-14","STATE","ALABAMA",1,27,56,14,3,0
"ALABAMA-2014-09-21",2014,38,"2014-09-21","STATE","ALABAMA",1,27,56,14,3,0
"ALABAMA-2014-09-28",2014,39,"2014-09-28","STATE","ALABAMA",1,27,56,14,3,0
"ALABAMA-2014-10-05",2014,40,"2014-10-05","STATE","ALABAMA",1,27,56,14,3,0
"ALABAMA-2014-10-12",2014,41,"2014-10-12","STATE","ALABAMA",1,27,56,14,3,0
"ALABAMA-2014-10-19",2014,42,"2014-10-19","STATE","ALABAMA",1,27,56,14,3,0
"ALABAMA-2014-10-26",2014,43,"2014-10-26","STATE","ALABAMA",1,27,56,14,3,0
"ALABAMA-2015-05-10",2015,19,"2015-05-10","STATE","ALABAMA",1,1,82,16,1,0
"ALABAMA-2015-05-17",2015,20,"2015-05-17","STATE","ALABAMA",1,2,76,21,1,0
"ALABAMA-2015-05-24",2015,21,"2015-05-24","STATE","ALABAMA",1,3,62,32,3,0
"ALABAMA-2015-05-31",2015,22,"2015-05-31","STATE","ALABAMA",1,7,60,30,3,0
"ALABAMA-2015-06-07",2015,23,"2015-06-07","STATE","ALABAMA",1,8,60,29,3,0
"ALABAMA-2015-06-14",2015,24,"2015-06-14","STATE","ALABAMA",1,8,60,29,3,0
"ALABAMA-2015-06-21",2015,25,"2015-06-21","STATE","ALABAMA",1,2,49,27,16,6
"ALABAMA-2015-06-28",2015,26,"2015-06-28","STATE","ALABAMA",1,2,43,32,18,5
"ALABAMA-2015-07-05",2015,27,"2015-07-05","STATE","ALABAMA",1,5,45,35,10,5
"ALABAMA-2015-07-12",2015,28,"2015-07-12","STATE","ALABAMA",1,5,46,34,10,5
"ALABAMA-2015-07-19",2015,29,"2015-07-19","STATE","ALABAMA",1,6,45,34,10,5
"ALABAMA-2015-07-26",2015,30,"2015-07-26","STATE","ALABAMA",1,6,45,33,11,5
"ALABAMA-2015-08-02",2015,31,"2015-08-02","STATE","ALABAMA",1,6,42,32,13,7
"ALABAMA-2015-08-09",2015,32,"2015-08-09","STATE","ALABAMA",1,6,44,33,11,6
"ALABAMA-2015-08-16",2015,33,"2015-08-16","STATE","ALABAMA",1,6,43,36,10,5
"ALABAMA-2015-08-23",2015,34,"2015-08-23","STATE","ALABAMA",1,6,46,35,10,3
"ALABAMA-2015-08-30",2015,35,"2015-08-30","STATE","ALABAMA",1,7,47,34,10,2
"ALABAMA-2015-09-06",2015,36,"2015-09-06","STATE","ALABAMA",1,7,48,35,10,0
"ALABAMA-2015-09-13",2015,37,"2015-09-13","STATE","ALABAMA",1,7,49,34,10,0
"ALABAMA-2016-05-01",2016,17,"2016-05-01","STATE","ALABAMA",1,21,66,11,2,0
"ALABAMA-2016-05-08",2016,18,"2016-05-08","STATE","ALABAMA",1,8,66,22,4,0
"ALABAMA-2016-05-15",2016,19,"2016-05-15","STATE","ALABAMA",1,7,68,18,7,0
"ALABAMA-2016-05-22",2016,20,"2016-05-22","STATE","ALABAMA",1,17,54,18,11,0
"ALABAMA-2016-05-29",2016,21,"2016-05-29","STATE","ALABAMA",1,13,53,23,11,0
"ALABAMA-2016-06-05",2016,22,"2016-06-05","STATE","ALABAMA",1,9,49,24,18,0
"ALABAMA-2016-06-12",2016,23,"2016-06-12","STATE","ALABAMA",1,4,48,26,17,5
"ALABAMA-2016-06-19",2016,24,"2016-06-19","STATE","ALABAMA",1,3,45,30,16,6
"ALABAMA-2016-06-26",2016,25,"2016-06-26","STATE","ALABAMA",1,1,46,29,17,7
"ALABAMA-2016-07-03",2016,26,"2016-07-03","STATE","ALABAMA",1,1,37,31,21,10
"ALABAMA-2016-07-10",2016,27,"2016-07-10","STATE","ALABAMA",1,0,36,34,19,11
"ALABAMA-2016-07-17",2016,28,"2016-07-17","STATE","ALABAMA",1,2,34,32,20,12
"ALABAMA-2016-07-24",2016,29,"2016-07-24","STATE","ALABAMA",1,2,31,32,23,12
"ALABAMA-2016-07-31",2016,30,"2016-07-31","STATE","ALABAMA",1,1,33,35,19,12
"ALABAMA-2016-08-07",2016,31,"2016-08-07","STATE","ALABAMA",1,2,31,33,20,14
"ALABAMA-2016-08-14",2016,32,"2016-08-14","STATE","ALABAMA",1,2,30,34,20,14
"ALABAMA-2016-08-21",2016,33,"2016-08-21","STATE","ALABAMA",1,2,30,34,20,14
"ALABAMA-2016-08-28",2016,34,"2016-08-28","STATE","ALABAMA",1,1,28,33,22,16
"ALABAMA-2016-09-04",2016,35,"2016-09-04","STATE","ALABAMA",1,2,30,34,21,13
"ALABAMA-2016-09-11",2016,36,"2016-09-11","STATE","ALABAMA",1,3,29,34,21,13
"ALABAMA-2017-05-07",2017,18,"2017-05-07","STATE","ALABAMA",1,9,80,10,1,0
"ALABAMA-2017-05-14",2017,19,"2017-05-14","STATE","ALABAMA",1,10,78,11,1,0
"ALABAMA-2017-05-21",2017,20,"2017-05-21","STATE","ALABAMA",1,8,80,12,0,0
"ALABAMA-2017-05-28",2017,21,"2017-05-28","STATE","ALABAMA",1,10,83,7,0,0
"ALABAMA-2017-06-04",2017,22,"2017-06-04","STATE","ALABAMA",1,16,75,9,0,0
"ALABAMA-2017-06-11",2017,23,"2017-06-11","STATE","ALABAMA",1,15,77,7,1,0
"ALABAMA-2017-06-18",2017,24,"2017-06-18","STATE","ALABAMA",1,19,72,9,0,0
"ALABAMA-2017-06-25",2017,25,"2017-06-25","STATE","ALABAMA",1,22,69,9,0,0
"ALABAMA-2017-07-02",2017,26,"2017-07-02","STATE","ALABAMA",1,28,63,9,0,0
"ALABAMA-2017-07-09",2017,27,"2017-07-09","STATE","ALABAMA",1,22,72,6,0,0
"ALABAMA-2017-07-16",2017,28,"2017-07-16","STATE","ALABAMA",1,26,67,6,1,0
"ALABAMA-2017-07-23",2017,29,"2017-07-23","STATE","ALABAMA",1,26,68,6,0,0
"ALABAMA-2017-07-30",2017,30,"2017-07-30","STATE","ALABAMA",1,37,57,6,0,0
"ALABAMA-2017-08-06",2017,31,"2017-08-06","STATE","ALABAMA",1,35,57,8,0,0
"ALABAMA-2017-08-13",2017,32,"2017-08-13","STATE","ALABAMA",1,43,50,6,1,0
"ALABAMA-2017-08-20",2017,33,"2017-08-20","STATE","ALABAMA",1,39,54,6,1,0
"ALABAMA-2017-08-27",2017,34,"2017-08-27","STATE","ALABAMA",1,44,47,8,1,0
"ALABAMA-2017-09-03",2017,35,"2017-09-03","STATE","ALABAMA",1,52,40,8,0,0
"ALABAMA-2018-05-06",2018,18,"2018-05-06","STATE","ALABAMA",1,10,82,8,0,0
"ALABAMA-2018-05-13",2018,19,"2018-05-13","STATE","ALABAMA",1,11,72,16,1,0
"ALABAMA-2018-05-20",2018,20,"2018-05-20","STATE","ALABAMA",1,12,68,17,2,1
"ALABAMA-2018-05-27",2018,21,"2018-05-27","STATE","ALABAMA",1,12,68,18,1,1
"ALABAMA-2018-06-03",2018,22,"2018-06-03","STATE","ALABAMA",1,14,74,10,1,1
"ALABAMA-2018-06-10",2018,23,"2018-06-10","STATE","ALABAMA",1,15,73,11,1,0
"ALABAMA-2018-06-17",2018,24,"2018-06-17","STATE","ALABAMA",1,19,68,12,1,0
"ALABAMA-2018-06-24",2018,25,"2018-06-24","STATE","ALABAMA",1,20,73,7,0,0
"ALABAMA-2018-07-01",2018,26,"2018-07-01","STATE","ALABAMA",1,23,69,8,0,0
"ALABAMA-2018-07-08",2018,27,"2018-07-08","STATE","ALABAMA",1,30,59,10,1,0
"ALABAMA-2018-07-15",2018,28,"2018-07-15","STATE","ALABAMA",1,33,59,8,0,0
"ALABAMA-2018-07-22",2018,29,"2018-07-22","STATE","ALABAMA",1,33,59,8,0,0
"ALABAMA-2018-07-29",2018,30,"2018-07-29","STATE","ALABAMA",1,31,60,9,0,0
"ALABAMA-2018-08-05",2018,31,"2018-08-05","STATE","ALABAMA",1,29,63,8,0,0
"ALABAMA-2018-08-12",2018,32,"2018-08-12","STATE","ALABAMA",1,29,60,11,0,0
"ALABAMA-2018-08-19",2018,33,"2018-08-19","STATE","ALABAMA",1,28,62,10,0,0
"ALABAMA-2018-08-26",2018,34,"2018-08-26","STATE","ALABAMA",1,31,58,11,0,0
"ALABAMA-2018-09-02",2018,35,"2018-09-02","STATE","ALABAMA",1,31,60,9,0,0
"ALABAMA-2018-09-09",2018,36,"2018-09-09","STATE","ALABAMA",1,32,59,9,0,0
"ALABAMA-2019-04-28",2019,17,"2019-04-28","STATE","ALABAMA",1,6,77,15,1,1
"ALABAMA-2019-05-05",2019,18,"2019-05-05","STATE","ALABAMA",1,6,86,8,0,0
"ALABAMA-2019-05-12",2019,19,"2019-05-12","STATE","ALABAMA",1,9,81,10,0,0
"ALABAMA-2019-05-19",2019,20,"2019-05-19","STATE","ALABAMA",1,8,81,11,0,0
"ALABAMA-2019-05-26",2019,21,"2019-05-26","STATE","ALABAMA",1,2,72,22,3,1
"ALABAMA-2019-06-02",2019,22,"2019-06-02","STATE","ALABAMA",1,2,45,38,10,5
"ALABAMA-2019-06-09",2019,23,"2019-06-09","STATE","ALABAMA",1,2,49,36,10,3
"ALABAMA-2019-06-16",2019,24,"2019-06-16","STATE","ALABAMA",1,3,51,29,10,7
"ALABAMA-2019-06-23",2019,25,"2019-06-23","STATE","ALABAMA",1,5,56,27,7,5
"ALABAMA-2019-06-30",2019,26,"2019-06-30","STATE","ALABAMA",1,4,56,26,6,8
"ALABAMA-2019-07-07",2019,27,"2019-07-07","STATE","ALABAMA",1,3,61,25,4,7
"ALABAMA-2019-07-14",2019,28,"2019-07-14","STATE","ALABAMA",1,4,57,27,5,7
"ALABAMA-2019-07-21",2019,29,"2019-07-21","STATE","ALABAMA",1,14,52,22,5,7
"ALABAMA-2019-07-28",2019,30,"2019-07-28","STATE","ALABAMA",1,17,49,21,6,7
"ALABAMA-2019-08-04",2019,31,"2019-08-04","STATE","ALABAMA",1,17,54,20,7,2
"ALABAMA-2019-08-11",2019,32,"2019-08-11","STATE","ALABAMA",1,18,51,20,8,3
"ALABAMA-2019-08-18",2019,33,"2019-08-18","STATE","ALABAMA",1,18,50,20,6,6
"ALABAMA-2019-08-25",2019,34,"2019-08-25","STATE","ALABAMA",1,22,44,20,7,7
"ALABAMA-2019-09-01",2019,35,"2019-09-01","STATE","ALABAMA",1,22,48,18,5,7
"ALABAMA-2019-09-08",2019,36,"2019-09-08","STATE","ALABAMA",1,23,46,17,6,8
"ALABAMA-2020-05-03",2020,18,"2020-05-03","STATE","ALABAMA",1,6,78,16,0,0
"ALABAMA-2020-05-10",2020,19,"2020-05-10","STATE","ALABAMA",1,4,82,14,0,0
"ALABAMA-2020-05-17",2020,20,"2020-05-17","STATE","ALABAMA",1,4,77,15,4,0
"ALABAMA-2020-05-24",2020,21,"2020-05-24","STATE","ALABAMA",1,1,82,14,3,0
"ALABAMA-2020-05-31",2020,22,"2020-05-31","STATE","ALABAMA",1,3,84,12,1,0
"ALABAMA-2020-06-07",2020,23,"2020-06-07","STATE","ALABAMA",1,6,81,13,0,0
"ALABAMA-2020-06-14",2020,24,"2020-06-14","STATE","ALABAMA",1,12,71,14,3,0
"ALABAMA-2020-06-21",2020,25,"2020-06-21","STATE","ALABAMA",1,10,72,15,3,0
"ALABAMA-2020-06-28",2020,26,"2020-06-28","STATE","ALABAMA",1,19,66,13,2,0
"ALABAMA-2020-07-05",2020,27,"2020-07-05","STATE","ALABAMA",1,23,65,11,1,0
"ALABAMA-2020-07-12",2020,28,"2020-07-12","STATE","ALABAMA",1,22,71,7,0,0
"ALABAMA-2020-07-19",2020,29,"2020-07-19","STATE","ALABAMA",1,25,69,6,0,0
"ALABAMA-2020-07-26",2020,30,"2020-07-26","STATE","ALABAMA",1,20,70,9,1,0
"ALABAMA-2020-08-02",2020,31,"2020-08-02","STATE","ALABAMA",1,18,72,10,0,0
"ALABAMA-2020-08-09",2020,32,"2020-08-09","STATE","ALABAMA",1,21,66,12,1,0
"ALABAMA-2020-08-16",2020,33,"2020-08-16","STATE","ALABAMA",1,22,70,8,0,0
"ALABAMA-2020-08-23",2020,34,"2020-08-23","STATE","ALABAMA",1,23,67,9,1,0
"ALABAMA-2020-08-30",2020,35,"2020-08-30","STATE","ALABAMA",1,23,69,8,0,0
"ALABAMA-2020-09-06",2020,36,"2020-09-06","STATE","ALABAMA",1,24,65,11,0,0
"ALABAMA-2020-09-13",2020,37,"2020-09-13","STATE","ALABAMA",1,26,64,10,0,0
"ARKANSAS-2014-05-11",2014,19,"2014-05-11","STATE","ARKANSAS",5,15,58,26,1,0
"ARKANSAS-2014-05-18",2014,20,"2014-05-18","STATE","ARKANSAS",5,14,60,25,1,0
"ARKANSAS-2014-05-25",2014,21,"2014-05-25","STATE","ARKANSAS",5,16,60,22,2,0
"ARKANSAS-2014-06-01",2014,22,"2014-06-01","STATE","ARKANSAS",5,16,61,22,1,0
"ARKANSAS-2014-06-08",2014,23,"2014-06-08","STATE","ARKANSAS",5,22,54,23,1,0
"ARKANSAS-2014-06-15",2014,24,"2014-06-15","STATE","ARKANSAS",5,22,53,22,3,0
"ARKANSAS-2014-06-22",2014,25,"2014-06-22","STATE","ARKANSAS",5,22,52,23,2,1
"ARKANSAS-2014-06-29",2014,26,"2014-06-29","STATE","ARKANSAS",5,22,52,22,3,1
"ARKANSAS-2014-07-06",2014,27,"2014-07-06","STATE","ARKANSAS",5,21,50,22,6,1
"ARKANSAS-2014-07-13",2014,28,"2014-07-13","STATE","ARKANSAS",5,23,47,22,7,1
"ARKANSAS-2014-07-20",2014,29,"2014-07-20","STATE","ARKANSAS",5,22,47,23,7,1
"ARKANSAS-2014-07-27",2014,30,"2014-07-27","STATE","ARKANSAS",5,23,47,22,7,1
"ARKANSAS-2014-08-03",2014,31,"2014-08-03","STATE","ARKANSAS",5,22,49,22,7,0
"ARKANSAS-2014-08-10",2014,32,"2014-08-10","STATE","ARKANSAS",5,22,49,22,7,0
"ARKANSAS-2014-08-17",2014,33,"2014-08-17","STATE","ARKANSAS",5,24,49,20,7,0
"ARKANSAS-2014-08-24",2014,34,"2014-08-24","STATE","ARKANSAS",5,23,49,21,7,0
"ARKANSAS-2014-08-31",2014,35,"2014-08-31","STATE","ARKANSAS",5,24,47,22,7,0
"ARKANSAS-2014-09-07",2014,36,"2014-09-07","STATE","ARKANSAS",5,24,48,21,7,0
"ARKANSAS-2014-09-14",2014,37,"2014-09-14","STATE","ARKANSAS",5,25,49,20,6,0
"ARKANSAS-2014-09-21",2014,38,"2014-09-21","STATE","ARKANSAS",5,25,49,20,6,0
"ARKANSAS-2014-09-28",2014,39,"2014-09-28","STATE","ARKANSAS",5,25,49,20,6,0
"ARKANSAS-2014-10-05",2014,40,"2014-10-05","STATE","ARKANSAS",5,25,49,20,6,0
"ARKANSAS-2015-04-26",2015,17,"2015-04-26","STATE","ARKANSAS",5,18,47,24,5,6
"ARKANSAS-2015-05-03",2015,18,"2015-05-03","STATE","ARKANSAS",5,16,52,25,2,5
"ARKANSAS-2015-05-10",2015,19,"2015-05-10","STATE","ARKANSAS",5,16,52,25,2,5
"ARKANSAS-2015-05-17",2015,20,"2015-05-17","STATE","ARKANSAS",5,17,53,22,3,5
"ARKANSAS-2015-05-24",2015,21,"2015-05-24","STATE","ARKANSAS",5,16,53,22,4,5
"ARKANSAS-2015-05-31",2015,22,"2015-05-31","STATE","ARKANSAS",5,17,50,22,5,6
"ARKANSAS-2015-06-07",2015,23,"2015-06-07","STATE","ARKANSAS",5,17,51,22,4,6
"ARKANSAS-2015-06-14",2015,24,"2015-06-14","STATE","ARKANSAS",5,19,47,24,4,6
"ARKANSAS-2015-06-21",2015,25,"2015-06-21","STATE","ARKANSAS",5,20,47,24,3,6
"ARKANSAS-2015-06-28",2015,26,"2015-06-28","STATE","ARKANSAS",5,20,48,23,3,6
"ARKANSAS-2015-07-05",2015,27,"2015-07-05","STATE","ARKANSAS",5,20,48,23,3,6
"ARKANSAS-2015-07-12",2015,28,"2015-07-12","STATE","ARKANSAS",5,20,48,23,3,6
"ARKANSAS-2015-07-19",2015,29,"2015-07-19","STATE","ARKANSAS",5,18,48,24,4,6
"ARKANSAS-2015-07-26",2015,30,"2015-07-26","STATE","ARKANSAS",5,18,50,23,3,6
"ARKANSAS-2015-08-02",2015,31,"2015-08-02","STATE","ARKANSAS",5,18,48,25,3,6
"ARKANSAS-2015-08-09",2015,32,"2015-08-09","STATE","ARKANSAS",5,18,48,25,3,6
"ARKANSAS-2015-08-16",2015,33,"2015-08-16","STATE","ARKANSAS",5,18,48,25,3,6
"ARKANSAS-2015-08-23",2015,34,"2015-08-23","STATE","ARKANSAS",5,18,48,25,3,6
"ARKANSAS-2015-08-30",2015,35,"2015-08-30","STATE","ARKANSAS",5,16,50,25,3,6
"ARKANSAS-2015-09-06",2015,36,"2015-09-06","STATE","ARKANSAS",5,12,51,27,4,6
"ARKANSAS-2015-09-13",2015,37,"2015-09-13","STATE","ARKANSAS",5,12,51,27,4,6
"ARKANSAS-2015-09-20",2015,38,"2015-09-20","STATE","ARKANSAS",5,12,51,27,4,6
"ARKANSAS-2015-09-27",2015,39,"2015-09-27","STATE","ARKANSAS",5,12,51,27,4,6
"ARKANSAS-2016-04-24",2016,16,"2016-04-24","STATE","ARKANSAS",5,12,38,38,5,7
"ARKANSAS-2016-05-01",2016,17,"2016-05-01","STATE","ARKANSAS",5,11,38,41,3,7
"ARKANSAS-2016-05-08",2016,18,"2016-05-08","STATE","ARKANSAS",5,13,43,33,3,8
"ARKANSAS-2016-05-15",2016,19,"2016-05-15","STATE","ARKANSAS",5,13,46,30,3,8
"ARKANSAS-2016-05-22",2016,20,"2016-05-22","STATE","ARKANSAS",5,13,45,31,3,8
"ARKANSAS-2016-05-29",2016,21,"2016-05-29","STATE","ARKANSAS",5,11,47,29,5,8
"ARKANSAS-2016-06-05",2016,22,"2016-06-05","STATE","ARKANSAS",5,11,48,28,5,8
"ARKANSAS-2016-06-12",2016,23,"2016-06-12","STATE","ARKANSAS",5,15,47,27,5,6
"ARKANSAS-2016-06-19",2016,24,"2016-06-19","STATE","ARKANSAS",5,15,44,30,5,6
"ARKANSAS-2016-06-26",2016,25,"2016-06-26","STATE","ARKANSAS",5,16,45,29,4,6
"ARKANSAS-2016-07-03",2016,26,"2016-07-03","STATE","ARKANSAS",5,15,48,27,4,6
"ARKANSAS-2016-07-10",2016,27,"2016-07-10","STATE","ARKANSAS",5,15,46,28,4,7
"ARKANSAS-2016-07-17",2016,28,"2016-07-17","STATE","ARKANSAS",5,16,45,28,4,7
"ARKANSAS-2016-07-24",2016,29,"2016-07-24","STATE","ARKANSAS",5,16,44,28,5,7
"ARKANSAS-2016-07-31",2016,30,"2016-07-31","STATE","ARKANSAS",5,16,46,27,5,6
"ARKANSAS-2016-08-07",2016,31,"2016-08-07","STATE","ARKANSAS",5,16,44,29,5,6
"ARKANSAS-2016-08-14",2016,32,"2016-08-14","STATE","ARKANSAS",5,17,45,28,4,6
"ARKANSAS-2016-08-21",2016,33,"2016-08-21","STATE","ARKANSAS",5,16,44,27,7,6
"ARKANSAS-2016-08-28",2016,34,"2016-08-28","STATE","ARKANSAS",5,16,43,28,7,6
"ARKANSAS-2016-09-04",2016,35,"2016-09-04","STATE","ARKANSAS",5,16,43,27,8,6
"ARKANSAS-2016-09-11",2016,36,"2016-09-11","STATE","ARKANSAS",5,16,43,27,8,6
"ARKANSAS-2016-09-18",2016,37,"2016-09-18","STATE","ARKANSAS",5,16,44,26,8,6
"ARKANSAS-2016-09-25",2016,38,"2016-09-25","STATE","ARKANSAS",5,16,44,26,8,6
"ARKANSAS-2016-10-02",2016,39,"2016-10-02","STATE","ARKANSAS",5,16,44,26,8,6
"ARKANSAS-2016-10-09",2016,40,"2016-10-09","STATE","ARKANSAS",5,16,44,26,8,6
"ARKANSAS-2017-04-16",2017,15,"2017-04-16","STATE","ARKANSAS",5,17,60,19,4,0
"ARKANSAS-2017-04-23",2017,16,"2017-04-23","STATE","ARKANSAS",5,16,60,19,4,1
"ARKANSAS-2017-04-30",2017,17,"2017-04-30","STATE","ARKANSAS",5,13,54,23,8,2
"ARKANSAS-2017-05-07",2017,18,"2017-05-07","STATE","ARKANSAS",5,9,51,25,10,5
"ARKANSAS-2017-05-14",2017,19,"2017-05-14","STATE","ARKANSAS",5,14,54,21,8,3
"ARKANSAS-2017-05-21",2017,20,"2017-05-21","STATE","ARKANSAS",5,13,55,22,7,3
"ARKANSAS-2017-05-28",2017,21,"2017-05-28","STATE","ARKANSAS",5,12,56,24,5,3
"ARKANSAS-2017-06-04",2017,22,"2017-06-04","STATE","ARKANSAS",5,14,55,24,5,2
"ARKANSAS-2017-06-11",2017,23,"2017-06-11","STATE","ARKANSAS",5,18,55,20,4,3
"ARKANSAS-2017-06-18",2017,24,"2017-06-18","STATE","ARKANSAS",5,19,60,16,3,2
"ARKANSAS-2017-06-25",2017,25,"2017-06-25","STATE","ARKANSAS",5,21,59,15,4,1
"ARKANSAS-2017-07-02",2017,26,"2017-07-02","STATE","ARKANSAS",5,21,60,15,3,1
"ARKANSAS-2017-07-09",2017,27,"2017-07-09","STATE","ARKANSAS",5,21,56,17,4,2
"ARKANSAS-2017-07-16",2017,28,"2017-07-16","STATE","ARKANSAS",5,21,57,16,4,2
"ARKANSAS-2017-07-23",2017,29,"2017-07-23","STATE","ARKANSAS",5,22,58,15,4,1
"ARKANSAS-2017-07-30",2017,30,"2017-07-30","STATE","ARKANSAS",5,22,58,15,4,1
"ARKANSAS-2017-08-06",2017,31,"2017-08-06","STATE","ARKANSAS",5,21,57,17,4,1
"ARKANSAS-2017-08-13",2017,32,"2017-08-13","STATE","ARKANSAS",5,23,55,16,5,1
"ARKANSAS-2017-08-20",2017,33,"2017-08-20","STATE","ARKANSAS",5,21,53,20,5,1
"ARKANSAS-2017-08-27",2017,34,"2017-08-27","STATE","ARKANSAS",5,23,56,15,5,1
"ARKANSAS-2017-09-03",2017,35,"2017-09-03","STATE","ARKANSAS",5,20,58,15,6,1
"ARKANSAS-2018-04-22",2018,16,"2018-04-22","STATE","ARKANSAS",5,1,51,36,10,2
"ARKANSAS-2018-04-29",2018,17,"2018-04-29","STATE","ARKANSAS",5,1,57,33,7,2
"ARKANSAS-2018-05-06",2018,18,"2018-05-06","STATE","ARKANSAS",5,3,59,33,4,1
"ARKANSAS-2018-05-13",2018,19,"2018-05-13","STATE","ARKANSAS",5,11,55,28,5,1
"ARKANSAS-2018-05-20",2018,20,"2018-05-20","STATE","ARKANSAS",5,13,56,25,5,1
"ARKANSAS-2018-05-27",2018,21,"2018-05-27","STATE","ARKANSAS",5,12,59,24,4,1
"ARKANSAS-2018-06-03",2018,22,"2018-06-03","STATE","ARKANSAS",5,15,62,19,3,1
"ARKANSAS-2018-06-10",2018,23,"2018-06-10","STATE","ARKANSAS",5,18,53,23,5,1
"ARKANSAS-2018-06-17",2018,24,"2018-06-17","STATE","ARKANSAS",5,18,50,24,6,2
"ARKANSAS-2018-06-24",2018,25,"2018-06-24","STATE","ARKANSAS",5,21,51,22,5,1
"ARKANSAS-2018-07-01",2018,26,"2018-07-01","STATE","ARKANSAS",5,23,49,20,6,2
"ARKANSAS-2018-07-08",2018,27,"2018-07-08","STATE","ARKANSAS",5,21,49,23,6,1
"ARKANSAS-2018-07-15",2018,28,"2018-07-15","STATE","ARKANSAS",5,23,49,20,6,2
"ARKANSAS-2018-07-22",2018,29,"2018-07-22","STATE","ARKANSAS",5,20,53,18,7,2
"ARKANSAS-2018-07-29",2018,30,"2018-07-29","STATE","ARKANSAS",5,20,50,21,7,2
"ARKANSAS-2018-08-05",2018,31,"2018-08-05","STATE","ARKANSAS",5,25,49,18,6,2
"ARKANSAS-2018-08-12",2018,32,"2018-08-12","STATE","ARKANSAS",5,20,51,22,6,1
"ARKANSAS-2018-08-19",2018,33,"2018-08-19","STATE","ARKANSAS",5,21,50,22,6,1
"ARKANSAS-2018-08-26",2018,34,"2018-08-26","STATE","ARKANSAS",5,18,48,25,7,2
"ARKANSAS-2018-09-02",2018,35,"2018-09-02","STATE","ARKANSAS",5,20,51,22,6,1
"ARKANSAS-2018-09-09",2018,36,"2018-09-09","STATE","ARKANSAS",5,20,53,22,4,1
"ARKANSAS-2019-04-28",2019,17,"2019-04-28","STATE","ARKANSAS",5,6,35,34,19,6
"ARKANSAS-2019-05-05",2019,18,"2019-05-05","STATE","ARKANSAS",5,7,34,37,15,7
"ARKANSAS-2019-05-12",2019,19,"2019-05-12","STATE","ARKANSAS",5,7,33,35,16,9
"ARKANSAS-2019-05-19",2019,20,"2019-05-19","STATE","ARKANSAS",5,10,36,33,14,7
"ARKANSAS-2019-05-26",2019,21,"2019-05-26","STATE","ARKANSAS",5,9,35,33,14,9
"ARKANSAS-2019-06-02",2019,22,"2019-06-02","STATE","ARKANSAS",5,11,39,29,12,9
"ARKANSAS-2019-06-09",2019,23,"2019-06-09","STATE","ARKANSAS",5,13,37,32,11,7
"ARKANSAS-2019-06-16",2019,24,"2019-06-16","STATE","ARKANSAS",5,16,36,32,10,6
"ARKANSAS-2019-06-23",2019,25,"2019-06-23","STATE","ARKANSAS",5,19,34,29,11,7
"ARKANSAS-2019-06-30",2019,26,"2019-06-30","STATE","ARKANSAS",5,19,38,27,10,6
"ARKANSAS-2019-07-07",2019,27,"2019-07-07","STATE","ARKANSAS",5,19,38,28,10,5
"ARKANSAS-2019-07-14",2019,28,"2019-07-14","STATE","ARKANSAS",5,21,34,28,11,6
"ARKANSAS-2019-07-21",2019,29,"2019-07-21","STATE","ARKANSAS",5,22,34,27,11,6
